iteration,profile,question,l2_input,vague_input,l4_method,l4_justification,l3_mapping,l3_mapping_consistent,l3_mapping_runs
1,expert,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,Clustering & Unsupervised Learning,,Principal Component Analysis (PCA),"PCA is excellent for dimensionality reduction, allowing visualization of complex skeletal traits in lower dimensions.",L3-019: Principal Component Analysis Variants,True,"[""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants""]"
1,expert,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,Clustering & Unsupervised Learning,,K-Means Clustering,K-Means can group individuals into distinct clusters based on shared morphological or biological characteristics.,L3-052: K-Means Clustering,True,"[""L3-052: K-Means Clustering"", ""L3-052: K-Means Clustering"", ""L3-052: K-Means Clustering""]"
1,expert,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,Clustering & Unsupervised Learning,,Hierarchical Clustering (Agglomerative/Divisive),Hierarchical clustering is useful for visualizing nested relationships between individuals or groups without predefining the number of clusters.,L3-010: Hierarchical Clustering Algorithms,True,"[""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms""]"
1,expert,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,Clustering & Unsupervised Learning,,Discriminant Function Analysis (DFA),"DFA can be used to determine which combination of traits best separates predefined groups (e.g., sex, age cohorts, or hypothesized cultural groups).",L3-155: Voronoi and Delaunay Geometric Methods,True,"[""L3-155: Voronoi and Delaunay Geometric Methods"", ""L3-155: Voronoi and Delaunay Geometric Methods"", ""L3-155: Voronoi and Delaunay Geometric Methods""]"
1,expert,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,Clustering & Unsupervised Learning,,Gaussian Mixture Models (GMM),"GMM provides a probabilistic approach to clustering, assuming data points belong to a mixture of several Gaussian distributions.",L3-063: Gaussian Mixture Modeling,True,"[""L3-063: Gaussian Mixture Modeling"", ""L3-063: Gaussian Mixture Modeling"", ""L3-063: Gaussian Mixture Modeling""]"
1,expert,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,Clustering & Unsupervised Learning,,"Manifold Learning (e.g., t-SNE or UMAP)",These non-linear techniques are used to visualize high-dimensional skeletal data in 2D or 3D while preserving local data structure.,L3-016: Nonlinear Dimensionality Reduction,True,"[""L3-016: Nonlinear Dimensionality Reduction"", ""L3-016: Nonlinear Dimensionality Reduction"", ""L3-016: Nonlinear Dimensionality Reduction""]"
1,intermediate,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,some kind of machine learning or pattern recognition,Principal Component Analysis (PCA),"PCA can reduce the dimensionality of complex morphological data (e.g., cranial measurements) to identify major axes of variation within the sample.",L3-019: Principal Component Analysis Variants,True,"[""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants""]"
1,intermediate,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,some kind of machine learning or pattern recognition,Discriminant Function Analysis (DFA),"DFA can be used to determine which combination of skeletal traits best separates predefined groups (e.g., sex, age cohorts, or cultural groups).",L3-155: Voronoi and Delaunay Geometric Methods,True,"[""L3-155: Voronoi and Delaunay Geometric Methods"", ""L3-155: Voronoi and Delaunay Geometric Methods"", ""L3-155: Voronoi and Delaunay Geometric Methods""]"
1,intermediate,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,some kind of machine learning or pattern recognition,"Cluster Analysis (e.g., K-means, Hierarchical Clustering)",Clustering algorithms can automatically group individuals based on similarity in their biological or funerary characteristics without prior group definitions.,L3-010: Hierarchical Clustering Algorithms,True,"[""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms""]"
1,intermediate,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,some kind of machine learning or pattern recognition,Support Vector Machines (SVM),"SVMs can be employed for classification tasks, such as predicting an individual's sex or age based on a set of measured skeletal variables.",L3-167: Multivariate Statistical & Machine Learning Methods,True,"[""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-167: Multivariate Statistical & Machine Learning Methods""]"
1,intermediate,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,some kind of machine learning or pattern recognition,Random Forest,"Random Forest provides a robust, non-linear method for predicting traits (like ancestry or health status) by aggregating predictions from multiple decision trees.",L3-022: Random Forest Ensemble Methods,True,"[""L3-022: Random Forest Ensemble Methods"", ""L3-022: Random Forest Ensemble Methods"", ""L3-022: Random Forest Ensemble Methods""]"
1,intermediate,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,some kind of machine learning or pattern recognition,Geometric Morphometrics (GM) combined with Machine Learning,"GM captures detailed shape variation in bones, and ML methods can then be applied to these shape variables to study subtle morphological differences.",L3-183: Geometric Morphometrics,True,"[""L3-183: Geometric Morphometrics"", ""L3-183: Geometric Morphometrics"", ""L3-183: Geometric Morphometrics""]"
1,intermediate,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,some kind of machine learning or pattern recognition,Time Series Analysis (if longitudinal data exists),"If multiple burial events or associated artifacts are dated, time series methods can track changes in funerary practices over time.",L3-136: Time Series Stationarity and Causality,True,"[""L3-136: Time Series Stationarity and Causality"", ""L3-136: Time Series Stationarity and Causality"", ""L3-136: Time Series Stationarity and Causality""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,Osteometric Morphometrics,This method uses geometric measurements of bones to statistically analyze morphological variation within the skeletal sample.,L3-183: Geometric Morphometrics,True,"[""L3-183: Geometric Morphometrics"", ""L3-183: Geometric Morphometrics"", ""L3-183: Geometric Morphometrics""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,"Isotopic Analysis (e.g., $\delta^{13}C$, $\delta^{15}N$)",Stable isotope analysis provides chemical signatures in bone collagen to reconstruct past diet and trophic level.,L3-105: Stable Isotope Ratio Analysis,True,"[""L3-105: Stable Isotope Ratio Analysis"", ""L3-105: Stable Isotope Ratio Analysis"", ""L3-105: Stable Isotope Ratio Analysis""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,Paleoproteomics,This technique analyzes preserved proteins in bone to identify specific dietary components or disease markers.,L3-044: Mass Spectrometry-Based Proteomics,True,"[""L3-044: Mass Spectrometry-Based Proteomics"", ""L3-044: Mass Spectrometry-Based Proteomics"", ""L3-044: Mass Spectrometry-Based Proteomics""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,D Morphometrics (Geometric Morphometrics - GM),GM uses landmark and semi-landmark coordinates on 3D scans to quantify shape variation in skeletal elements.,L3-183: Geometric Morphometrics,True,"[""L3-183: Geometric Morphometrics"", ""L3-183: Geometric Morphometrics"", ""L3-183: Geometric Morphometrics""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,Computed Tomography (CT) Scanning,"CT scanning allows for non-destructive, high-resolution visualization of internal bone structures, such as pathologies or remodeling.",L3-068: X-ray Computed Tomography,True,"[""L3-068: X-ray Computed Tomography"", ""L3-068: X-ray Computed Tomography"", ""L3-068: X-ray Computed Tomography""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,Principal Component Analysis (PCA),PCA is a statistical technique used to reduce the dimensionality of complex morphometric datasets while retaining maximum variance.,L3-019: Principal Component Analysis Variants,True,"[""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,"Cluster Analysis (e.g., K-means)",Cluster analysis groups individuals based on shared biological or morphological traits to identify potential sub-populations.,L3-052: K-Means Clustering,True,"[""L3-052: K-Means Clustering"", ""L3-052: K-Means Clustering"", ""L3-052: K-Means Clustering""]"
1,novice,How do I study funerary practices and biological characteristics of a past population from skeletal remains?,,,Finite Element Analysis (FEA),FEA can simulate biomechanical stresses on bones to infer patterns of activity or habitual loading.,L3-138: Finite Element and Related Numerical Methods,True,"[""L3-138: Finite Element and Related Numerical Methods"", ""L3-138: Finite Element and Related Numerical Methods"", ""L3-138: Finite Element and Related Numerical Methods""]"
2,expert,How do I analyse and interpret architectural structures or built features at a site?,Ecological & Palaeoenvironmental Modelling,,Geographic Information Systems (GIS),GIS is essential for spatially representing and analyzing the location and relationships of architectural features.,L3-226: Geographic Information System Modeling,True,"[""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling""]"
2,expert,How do I analyse and interpret architectural structures or built features at a site?,Ecological & Palaeoenvironmental Modelling,,"Spatial Statistics (e.g., Ripley's K, Nearest Neighbor Analysis)","These algorithms help determine if the distribution of built features is random, clustered, or dispersed across the site.",L3-056: Nearest Neighbor Analysis,True,"[""L3-056: Nearest Neighbor Analysis"", ""L3-056: Nearest Neighbor Analysis"", ""L3-056: Nearest Neighbor Analysis""]"
2,expert,How do I analyse and interpret architectural structures or built features at a site?,Ecological & Palaeoenvironmental Modelling,,Agent-Based Modeling (ABM),ABM can simulate how human agents interacted with and modified the environment to create the observed architectural patterns.,L3-220: Discrete and Agent-Based Simulation,True,"[""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation""]"
2,expert,How do I analyse and interpret architectural structures or built features at a site?,Ecological & Palaeoenvironmental Modelling,,Environmental Niche Modeling (ENM) / Species Distribution Modeling (SDM),"ENM can model the environmental conditions (e.g., soil moisture, aspect) that were suitable for the construction or survival of the structures.",L3-213: Species Distribution Modeling,True,"[""L3-213: Species Distribution Modeling"", ""L3-213: Species Distribution Modeling"", ""L3-213: Species Distribution Modeling""]"
2,expert,How do I analyse and interpret architectural structures or built features at a site?,Ecological & Palaeoenvironmental Modelling,,"Process-Based Hydrological Modeling (e.g., SWAT, HEC-RAS)",These models can simulate ancient water flow and drainage patterns to understand how structures interacted with the local hydrogeology.,L3-228: Hydrological and Hydraulic Modeling,True,"[""L3-228: Hydrological and Hydraulic Modeling"", ""L3-228: Hydrological and Hydraulic Modeling"", ""L3-228: Hydrological and Hydraulic Modeling""]"
2,expert,How do I analyse and interpret architectural structures or built features at a site?,Ecological & Palaeoenvironmental Modelling,,"Landscape Ecology Metrics (e.g., Patch Density, Edge Density)",These metrics quantify the complexity and fragmentation of the built environment relative to the surrounding natural landscape.,L3-103: Ecological Diversity Metrics,True,"[""L3-103: Ecological Diversity Metrics"", ""L3-103: Ecological Diversity Metrics"", ""L3-103: Ecological Diversity Metrics""]"
2,expert,How do I analyse and interpret architectural structures or built features at a site?,Ecological & Palaeoenvironmental Modelling,,"Machine Learning Classification (e.g., Random Forest, Support Vector Machines)",ML can be used to classify different types of architectural features or predict the function of a structure based on its spatial and environmental context.,L3-167: Multivariate Statistical & Machine Learning Methods,True,"[""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-167: Multivariate Statistical & Machine Learning Methods""]"
2,intermediate,How do I analyse and interpret architectural structures or built features at a site?,,some kind of simulation or agent-based modelling,Geographic Information Systems (GIS),"GIS is essential for spatially representing, analyzing, and visualizing the location and relationships of architectural features.",L3-226: Geographic Information System Modeling,True,"[""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling""]"
2,intermediate,How do I analyse and interpret architectural structures or built features at a site?,,some kind of simulation or agent-based modelling,D Reconstruction/Photogrammetry,"This method allows for the creation of accurate, measurable digital models of existing or excavated structures.",L3-176: Imaging and Photogrammetric Analysis,False,"[""L3-176: Imaging and Photogrammetric Analysis"", ""L3-195: Photogrammetric Reconstruction"", ""L3-176: Imaging and Photogrammetric Analysis""]"
2,intermediate,How do I analyse and interpret architectural structures or built features at a site?,,some kind of simulation or agent-based modelling,Finite Element Analysis (FEA),"FEA can simulate the structural integrity, stress distribution, and potential failure points of built features under various loads.",L3-138: Finite Element and Related Numerical Methods,True,"[""L3-138: Finite Element and Related Numerical Methods"", ""L3-138: Finite Element and Related Numerical Methods"", ""L3-138: Finite Element and Related Numerical Methods""]"
2,intermediate,How do I analyse and interpret architectural structures or built features at a site?,,some kind of simulation or agent-based modelling,Agent-Based Modeling (ABM),"ABM can simulate the behavioral interactions of human agents (e.g., builders, users) that led to or utilized the architectural design.",L3-220: Discrete and Agent-Based Simulation,True,"[""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation""]"
2,intermediate,How do I analyse and interpret architectural structures or built features at a site?,,some kind of simulation or agent-based modelling,Discrete Element Method (DEM),"DEM is useful for modeling the mechanical behavior of granular materials, such as how foundations or walls settle or collapse.",L3-220: Discrete and Agent-Based Simulation,True,"[""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation""]"
2,intermediate,How do I analyse and interpret architectural structures or built features at a site?,,some kind of simulation or agent-based modelling,Computational Fluid Dynamics (CFD),"CFD can be used to simulate environmental factors like airflow, temperature, or water flow through or around the structures.",L3-216: Process-Based Simulation Models,False,"[""L3-138: Finite Element and Related Numerical Methods"", ""L3-216: Process-Based Simulation Models"", ""L3-216: Process-Based Simulation Models""]"
2,intermediate,How do I analyse and interpret architectural structures or built features at a site?,,some kind of simulation or agent-based modelling,Topological Data Analysis (TDA),TDA can extract meaningful shape and connectivity features from complex 3D point clouds of architectural remains.,L3-167: Multivariate Statistical & Machine Learning Methods,True,"[""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-167: Multivariate Statistical & Machine Learning Methods""]"
