iteration,profile,question,l2_input,vague_input,l4_method,l4_justification,l3_mapping,l3_mapping_consistent,l3_mapping_runs
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Principal Component Analysis (PCA),This unsupervised dimensionality reduction technique identifies major sources of variance in elemental datasets to cluster artefacts by potential provenance or production group without prior labeling.,L3-019: Principal Component Analysis Variants,True,"[""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants"", ""L3-019: Principal Component Analysis Variants""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,X-ray Fluorescence (XRF) Spectroscopy,"This non-destructive analytical method quantifies major, minor, and trace elemental concentrations to generate a compositional fingerprint for comparing artefacts against known geological reference databases.",L3-089: X-ray Fluorescence Spectroscopy,True,"[""L3-089: X-ray Fluorescence Spectroscopy"", ""L3-089: X-ray Fluorescence Spectroscopy"", ""L3-089: X-ray Fluorescence Spectroscopy""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Neutron Activation Analysis (NAA),This highly sensitive technique detects trace elements at parts-per-million levels to resolve fine-grained provenance distinctions that bulk methods like XRF might miss due to matrix effects.,L3-060: Neutron Activation Analysis,True,"[""L3-060: Neutron Activation Analysis"", ""L3-060: Neutron Activation Analysis"", ""L3-060: Neutron Activation Analysis""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Discriminant Function Analysis (DFA),"This supervised statistical algorithm classifies artefacts into predefined geological source groups based on training data, providing probabilistic assignments for unknown samples.",L3-015: Discriminant Analysis Variants,True,"[""L3-015: Discriminant Analysis Variants"", ""L3-015: Discriminant Analysis Variants"", ""L3-015: Discriminant Analysis Variants""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Hierarchical Cluster Analysis (HCA),"This algorithm groups artefacts and reference materials into a dendrogram based on compositional similarity, revealing natural manufacturing traditions or trade networks without assuming a priori categories.",L3-010: Hierarchical Clustering Algorithms,True,"[""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Isotope Ratio Mass Spectrometry (IRMS),"This method measures stable isotope ratios (e.g., Sr, Pb, O) to trace the geological origin of raw materials and distinguish between different manufacturing batches or recycling events.",L3-105: Stable Isotope Ratio Analysis,True,"[""L3-105: Stable Isotope Ratio Analysis"", ""L3-105: Stable Isotope Ratio Analysis"", ""L3-105: Stable Isotope Ratio Analysis""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Multivariate Regression Calibration (MRC),This algorithm corrects for matrix effects and instrumental drift in spectroscopic data to ensure accurate quantitative concentration values essential for reliable provenance modeling.,L3-146: Regression Analysis,True,"[""L3-146: Regression Analysis"", ""L3-146: Regression Analysis"", ""L3-146: Regression Analysis""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Bayesian Mixing Models,"This probabilistic framework estimates the proportional contribution of different raw material sources to a composite artefact, such as a ceramic body mixed with temper.",L3-064: Bayesian Multi-Source Mixing Models,True,"[""L3-064: Bayesian Multi-Source Mixing Models"", ""L3-064: Bayesian Multi-Source Mixing Models"", ""L3-064: Bayesian Multi-Source Mixing Models""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Machine Learning Classification (Random Forest/SVM),"These algorithms leverage large reference datasets to predict artefact origins with higher accuracy than traditional statistics by capturing complex, non-linear relationships between elemental profiles and source locations.",L3-022: Random Forest Ensemble Methods,False,"[""L3-022: Random Forest Ensemble Methods"", ""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-022: Random Forest Ensemble Methods""]"
1,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",Archaeometry & Compositional Analysis,,Scanning Electron Microscopy with Energy Dispersive X-ray Spectroscopy (SEM-EDS),"This micro-analytical technique maps elemental distributions at the micro-scale to identify specific manufacturing techniques, such as slip application, glaze composition, or inclusions.",L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy,True,"[""L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy"", ""L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy"", ""L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy""]"
