original_term,normalized,canonical,frequency,is_garbage,level_2,level_2_description,level_3,level_3_description
BootCI,Bootci,Bootci,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrap,Bootstrap,Bootstrap,5,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrap,Bootstrap,Bootstrap,2,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrap Analysis,Bootstrap Analysi,Bootstrap Analysi,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrap analysis,Bootstrap Analysi,Bootstrap Analysi,2,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrap Resampling,Bootstrap Resampling,Bootstrap Resampling,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrap resampling,Bootstrap Resampling,Bootstrap Resampling,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrap resampling,Bootstrap Resampling,Bootstrap Resampling,3,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrap sampling,Bootstrap Sampling,Bootstrap Resampling,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrap resampling analysis,Bootstrap Resampling Analysi,Bootstrap Resampling Analysi,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
