iteration,profile,question,l2_input,vague_input,l4_method,l4_justification,l3_mapping,l3_mapping_consistent,l3_mapping_runs
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Hierarchical Dirichlet Process Hidden Markov Models,"This method automatically infers the number of distinct research eras and their transition probabilities without pre-specifying the number of states, making it ideal for uncovering latent shifts in disciplinary focus.",L3-010: Hierarchical Clustering Methods,True,"[""L3-010: Hierarchical Clustering Methods"", ""L3-010: Hierarchical Clustering Methods"", ""L3-010: Hierarchical Clustering Methods""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Bayesian Nonparametric Topic Modeling with MCMC,This approach reconstructs the evolution of specific research interests by treating topic distributions as time-varying latent variables that evolve according to a dynamic prior.,L3-078: Advanced MCMC Sampling,True,"[""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Gibbs Sampling for Latent Dirichlet Allocation with Temporal Constraints,This algorithm efficiently samples the posterior distribution of topic assignments across a corpus while enforcing smooth temporal transitions to model the gradual shift in research interests.,L3-078: Advanced MCMC Sampling,True,"[""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Metropolis-Hastings for Parameter Estimation in Dynamic Bayesian Networks,This technique allows for the flexible inference of complex dependency structures between research themes over time when the underlying state space is not fully observed.,L3-078: Advanced MCMC Sampling,True,"[""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Reversible Jump MCMC for Model Selection of Evolutionary Trajectories,This variant enables the comparison of competing evolutionary models with different numbers of phases or turning points by sampling across models of varying dimensions.,L3-078: Advanced MCMC Sampling,True,"[""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Particle MCMC for Filtering Non-Linear State-Space Models,This method provides robust estimation of the hidden state of research trends in the presence of noisy bibliometric data and non-Gaussian observation errors.,L3-078: Advanced MCMC Sampling,True,"[""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Slice Sampling for High-Dimensional Posterior Exploration of Research Networks,"This algorithm efficiently explores the complex, high-dimensional posterior distribution of co-authorship and citation networks to infer how collaborative structures evolve.",L3-078: Advanced MCMC Sampling,True,"[""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Sequential Monte Carlo (Particle Filter) for Real-Time Tracking of Emerging Topics,"This algorithm recursively updates the belief state of current research interests as new publications arrive, allowing for the detection of emerging trends before they dominate the literature.",L3-026: Monte Carlo Simulation,True,"[""L3-026: Monte Carlo Simulation"", ""L3-026: Monte Carlo Simulation"", ""L3-026: Monte Carlo Simulation""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Variational Inference with MCMC Correction for Scalable Analysis of Large Corpora,This hybrid approach combines the speed of variational approximation with the accuracy of MCMC to handle massive datasets of historical scientific literature.,L3-078: Advanced MCMC Sampling,True,"[""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling"", ""L3-078: Advanced MCMC Sampling""]"
1,expert,How do I reconstruct the evolution of approaches and research interests within a discipline over time?,Markov Chain Monte Carlo,,Gaussian Process Dynamic Systems with MCMC Inference,This method models the continuous evolution of research interest intensity over time as a smooth stochastic process with uncertainty quantification.,L3-062: Gaussian Process Methods,True,"[""L3-062: Gaussian Process Methods"", ""L3-062: Gaussian Process Methods"", ""L3-062: Gaussian Process Methods""]"
