"v2_label","final_v3","match_type","best_v3_dist"
"L3-000: Wavelet-Based Spectral Analysis","L3-000: Wavelet-Based Signal Decomposition","prefix",0.212751423149905
"L3-003: Gradient Boosting Interpretability","L3-003: Gradient Boosting Decision Trees","prefix",0.20781862745098
"L3-004: Advanced Spline Interpolation","L3-004: Spline-Based Smoothing and Interpolation","prefix",0.258860153256705
"L3-005: Procrustes Analysis","L3-005: Procrustes Analysis Methods","prefix",0.0987654320987654
"L3-007: Phylogenetic Reconstruction Techniques","L3-007: Phylogenetic Reconstruction Methods","prefix",0.0916196741854638
"L3-008: Single Decision Tree Algorithms","L3-008: Decision Tree Algorithms","prefix",0.241935483870968
"L3-009: Real-Time Object Detection","L3-009: YOLO Object Detection Variants","prefix",0.302294197031039
"L3-010: Hierarchical Clustering Methods","L3-010: Hierarchical Clustering Algorithms","prefix",0.0820192370607866
"L3-011: Hierarchical Agglomerative Clustering","L3-011: Hierarchical Clustering Linkages","prefix",0.153194554848967
"L3-012: Bayesian Change Point Modeling","L3-012: Bayesian Change Point Analysis","prefix",0.131111111111111
"L3-014: Inverse Problem Solving","L3-014: Inverse Problem Solving","exact",0
"L3-015: Discriminant Analysis Methods","L3-015: Discriminant Analysis Variants","prefix",0.124137931034483
"L3-016: Nonlinear Manifold Learning","L3-016: Nonlinear Dimensionality Reduction","prefix",0.244182375043415
"L3-017: Kernel Methods and Matrix Factorization","L3-017: Support Vector Machine Variants","prefix",0.261056721056721
"L3-019: Principal Component Analysis Variants","L3-019: Principal Component Analysis Variants","exact",0
"L3-020: Factor and Correspondence Analysis","L3-020: Factor and Correspondence Analysis","exact",0
"L3-021: Multivariate Ordination and Seriation","L3-021: Multivariate Ordination and Seriation","exact",0
"L3-022: Random Forest Variants","L3-022: Random Forest Ensemble Methods","prefix",0.239809863339275
"L3-023: Statistical Data Transformations","L3-023: Statistical Data Normalization","prefix",0.128626543209877
"L3-025: Density-Based Clustering","L3-025: Density-Based Clustering","exact",0
"L3-026: Monte Carlo Simulation","L3-026: Monte Carlo Simulation Methods","prefix",0.0888888888888889
"L3-027: Bayesian Point Process Modeling","L3-027: Poisson Point Process Modeling","prefix",0.217966660977414
"L3-028: Fuzzy-Delphi Uncertain Fusion","L3-028: Fuzzy Delphi and Rough Set Methods","prefix",0.288704686118479
"L3-029: Fuzzy Clustering Algorithms","L3-029: Fuzzy Logic and Clustering","prefix",0.255929174788824
"L3-031: Fractal and Recurrence Analysis","L3-031: Fractal and Multifractal Analysis","prefix",0.235622352557836
"L3-032: Quadratic Trend Surface Fitting","L3-032: Polynomial Trend Surface Analysis","prefix",0.255141662399727
"L3-033: Advanced Kernel Density Estimation","L3-033: Kernel Density Estimation","prefix",0.248235294117647
"L3-034: Bagging Ensemble Methods","L3-034: Bootstrap Aggregating Ensembles","prefix",0.287749287749288
"L3-035: Inductively Coupled Plasma Spectrometry","L3-035: Inductively Coupled Plasma Spectrometry","exact",0
"L3-036: Nuclear Magnetic Resonance","L3-036: Nuclear Magnetic Resonance Spectroscopy","prefix",0.111111111111111
"L3-037: Network Centrality Metrics","L3-037: Network Centrality Metrics","exact",0
"L3-038: Ancient and Forensic DNA Analysis","L3-038: Ancient DNA and Population Genomics","prefix",0.216363636363637
"L3-039: Frequent Pattern Mining","L3-039: Association Rule Mining Algorithms","prefix",0.313916759568933
"L3-041: DNA Sequencing and Profiling","L3-041: DNA Sequencing and Metabarcoding","prefix",0.130952380952381
"L3-042: Liquid Chromatography Mass Spectrometry","L3-042: Liquid Chromatography Variants","prefix",0.168376068376068
"L3-044: Chromatographic Mass Spectrometry","L3-044: Mass Spectrometry-Based Proteomics","prefix",0.211659606820897
"L3-045: Survival Analysis Methods","L3-045: Survival Analysis Methods","exact",0
"L3-046: Resampling and Bootstrap Techniques","L3-046: Bootstrap and Jackknife Resampling","prefix",0.267682854779629
"L3-047: Resampling Cross-Validation","L3-047: Cross-Validation Techniques","prefix",0.264506172839506
"L3-049: Stochastic Randomization Techniques","L3-049: Randomization-Based Statistical Inference","prefix",0.259854497354497
"L3-050: Stratified and Adaptive Sampling","L3-050: Stratified and Adaptive Sampling","exact",0
"L3-051: Maximum Likelihood Estimation","L3-051: Maximum Entropy and Maximum Likelihood Methods","prefix",0.271780776278527
"L3-052: Partitioning Clustering Algorithms","L3-052: K-Means Clustering","prefix",0.241717376605815
"L3-053: Relief Family Algorithms","L3-053: Local Relief Modeling","prefix",0.302287581699346
