"g","level_2_mid","k","level_3_fine","mean_gamma","sd_gamma","lo90","hi90","lo95","hi95","sig90","sig95","group_label","method_id"
1,"L2-000: Curve and Tensor Smoothing",1,"L3-097: Tensor Smoothing and Decomposition",0.179810085548285,0.22576823641549,-0.159252319906232,0.580711184981196,-0.225902968461465,0.684200180165066,FALSE,FALSE,"Curve and Tensor Smoothing","Curve and Tensor Smoothing: L3-097: Tensor Smoothing and Decomposition"
1,"L2-000: Curve and Tensor Smoothing",2,"L3-101: Spline Smoothing Methods",-0.105990024771521,0.220288310167535,-0.491192965424089,0.230153034589794,-0.577677549558556,0.292975972364345,FALSE,FALSE,"Curve and Tensor Smoothing","Curve and Tensor Smoothing: L3-101: Spline Smoothing Methods"
1,"L2-000: Curve and Tensor Smoothing",3,"L3-104: Curve and Tensor Smoothing",-0.0407872193714515,0.210757235946487,-0.393659886379694,0.295586205801154,-0.478694461463851,0.368485160414337,FALSE,FALSE,"Curve and Tensor Smoothing","Curve and Tensor Smoothing: L3-104: Curve and Tensor Smoothing"
1,"L2-000: Curve and Tensor Smoothing",4,"L3-105: Relief Modeling and Visualization",-0.0330382537896561,0.211499222397238,-0.387254030842839,0.308480038620681,-0.465469856910185,0.376949400221885,FALSE,FALSE,"Curve and Tensor Smoothing","Curve and Tensor Smoothing: L3-105: Relief Modeling and Visualization"
2,"L2-001: Spectral Signal Processing Methods",1,"L3-089: Signal Filtering Techniques",0.0561624075570571,0.191264497472881,-0.251559603768,0.378277844191295,-0.310425707348694,0.448324146909369,FALSE,FALSE,"Spectral Signal Processing Methods","Spectral Signal Processing Methods: L3-089: Signal Filtering Techniques"
2,"L2-001: Spectral Signal Processing Methods",2,"L3-115: Spectral Unmixing and Decomposition",-0.126344695310647,0.196530962868873,-0.469714644608824,0.178098667182463,-0.547433298865428,0.233561791444225,FALSE,FALSE,"Spectral Signal Processing Methods","Spectral Signal Processing Methods: L3-115: Spectral Unmixing and Decomposition"
2,"L2-001: Spectral Signal Processing Methods",3,"L3-128: Spectral Feature Extraction",0.0939344171940596,0.193689196271362,-0.212852982286638,0.425470151967596,-0.266418417513408,0.501717445141243,FALSE,FALSE,"Spectral Signal Processing Methods","Spectral Signal Processing Methods: L3-128: Spectral Feature Extraction"
2,"L2-001: Spectral Signal Processing Methods",4,"L3-129: Spectral Analysis and Modeling",-0.023773840807969,0.178527360026964,-0.327057747608072,0.263863052882098,-0.385539847183927,0.325574279885468,FALSE,FALSE,"Spectral Signal Processing Methods","Spectral Signal Processing Methods: L3-129: Spectral Analysis and Modeling"
3,"L2-002: Spectral and Acoustic Analysis",1,"L3-146: Computational Acoustics and Audio",-0.0243197450741022,0.163675170462315,-0.299146031155422,0.244322953811952,-0.360494812393619,0.304392303051698,FALSE,FALSE,"Spectral and Acoustic Analysis","Spectral and Acoustic Analysis: L3-146: Computational Acoustics and Audio"
3,"L2-002: Spectral and Acoustic Analysis",2,"L3-147: Signal Transform and Spectral Analysis",0.0243183481204154,0.16367879116468,-0.243872678581283,0.298920333994372,-0.304204154515752,0.359874130441674,FALSE,FALSE,"Spectral and Acoustic Analysis","Spectral and Acoustic Analysis: L3-147: Signal Transform and Spectral Analysis"
4,"L2-003: Advanced Analytical & Modeling Methods",1,"L3-122: Constraint-Based Symbolic Reasoning",0.0614352388252767,0.230411019583181,-0.304178326097358,0.445754285175973,-0.389678966292499,0.529649557185642,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-122: Constraint-Based Symbolic Reasoning"
4,"L2-003: Advanced Analytical & Modeling Methods",2,"L3-151: Model Interpretability Techniques",0.153517195051143,0.242329138799734,-0.209082842078759,0.581929272534456,-0.283456698515703,0.688516160242935,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-151: Model Interpretability Techniques"
4,"L2-003: Advanced Analytical & Modeling Methods",3,"L3-161: Quantitative Analysis Techniques",0.0996508275438859,0.209509380459477,-0.235571604168069,0.46077620341389,-0.303481708291577,0.537660244891649,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-161: Quantitative Analysis Techniques"
4,"L2-003: Advanced Analytical & Modeling Methods",4,"L3-169: Ranking and Classification Methods",-0.0264007176031109,0.231814606938489,-0.407465907965625,0.354091039531107,-0.500618626092084,0.43010784900242,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-169: Ranking and Classification Methods"
4,"L2-003: Advanced Analytical & Modeling Methods",5,"L3-171: Model Validation & Comparison",-0.0553570958384259,0.201432638836158,-0.398626408440487,0.260739220815831,-0.479601158700451,0.331796382871006,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-171: Model Validation & Comparison"
4,"L2-003: Advanced Analytical & Modeling Methods",6,"L3-172: Association Rule Mining",0.0360870513920076,0.235570726043352,-0.343992484086028,0.430338445407229,-0.416268523844575,0.520349449413966,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-172: Association Rule Mining"
4,"L2-003: Advanced Analytical & Modeling Methods",7,"L3-176: Computational Simulation & Modeling",0.0316583656267618,0.213340920648806,-0.312089949749455,0.391768122312776,-0.385836543397959,0.47626992668353,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-176: Computational Simulation & Modeling"
4,"L2-003: Advanced Analytical & Modeling Methods",8,"L3-177: Statistical Robustness & Risk Analysis",0.0328491955997677,0.21823787552456,-0.329677492369809,0.39418070922881,-0.407385213851582,0.468720126746561,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-177: Statistical Robustness & Risk Analysis"
4,"L2-003: Advanced Analytical & Modeling Methods",9,"L3-178: Computational Analytical Methods",-0.474798976792886,0.226289582758064,-0.848535232476859,-0.0989198226047882,-0.935194477674372,-0.0395896514107913,TRUE,TRUE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-178: Computational Analytical Methods"
4,"L2-003: Advanced Analytical & Modeling Methods",10,"L3-182: Sensitivity and Choice Analysis",-0.0681812208970766,0.212467692853513,-0.430875357061199,0.270900685213269,-0.522620731908324,0.337858205465569,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-182: Sensitivity and Choice Analysis"
4,"L2-003: Advanced Analytical & Modeling Methods",11,"L3-183: Quantitative Modeling & Analysis",0.160671605024859,0.203753033634271,-0.155265285461192,0.516118229635116,-0.212601956046557,0.595891768335545,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-183: Quantitative Modeling & Analysis"
4,"L2-003: Advanced Analytical & Modeling Methods",12,"L3-184: Evaluation and Validation",0.200165476147736,0.220410909865258,-0.13640492826922,0.58406563000365,-0.201908213014739,0.669843069342865,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-184: Evaluation and Validation"
4,"L2-003: Advanced Analytical & Modeling Methods",13,"L3-185: Diagnostic Evaluation Metrics",-0.151325746468625,0.241040433218633,-0.577013278097573,0.206392007403249,-0.685910321851456,0.278300626540215,FALSE,FALSE,"Advanced Analytical & Modeling Methods","Advanced Analytical & Modeling Methods: L3-185: Diagnostic Evaluation Metrics"
5,"L2-004: Distance and Similarity Metrics",1,"L3-017: Similarity Analysis Methods",0.102289019296228,0.202320547553687,-0.206710920186105,0.454233231225087,-0.269292884199653,0.540122424005893,FALSE,FALSE,"Distance and Similarity Metrics","Distance and Similarity Metrics: L3-017: Similarity Analysis Methods"
5,"L2-004: Distance and Similarity Metrics",2,"L3-082: Matrix-Based Distance Analysis",-0.101089821209138,0.197079245911213,-0.441061109082704,0.199144889261501,-0.522187660314023,0.266704370122202,FALSE,FALSE,"Distance and Similarity Metrics","Distance and Similarity Metrics: L3-082: Matrix-Based Distance Analysis"
5,"L2-004: Distance and Similarity Metrics",3,"L3-083: Distance Metric Algorithms",-0.00120280268905724,0.192810362920101,-0.31876494297078,0.31886369291668,-0.388557396977915,0.388694101364815,FALSE,FALSE,"Distance and Similarity Metrics","Distance and Similarity Metrics: L3-083: Distance Metric Algorithms"
6,"L2-005: Temporal and Change Analysis",1,"L3-048: Change Point Detection",-0.05265769172005,0.162524649496016,-0.334149820242533,0.199030595262556,-0.400266775442545,0.257261496717875,FALSE,FALSE,"Temporal and Change Analysis","Temporal and Change Analysis: L3-048: Change Point Detection"
6,"L2-005: Temporal and Change Analysis",2,"L3-062: Temporal Dynamics Modeling",0.0526552118772097,0.162523884714222,-0.199342644517775,0.334517774691141,-0.258989886916311,0.400107597066968,FALSE,FALSE,"Temporal and Change Analysis","Temporal and Change Analysis: L3-062: Temporal Dynamics Modeling"
7,"L2-006: Spatial Path and Cost Analysis",1,"L3-087: Least Cost Path Modeling",-0.0565900504089203,0.153720736920173,-0.317809573584242,0.185988948894968,-0.384048389377758,0.234858041567296,FALSE,FALSE,"Spatial Path and Cost Analysis","Spatial Path and Cost Analysis: L3-087: Least Cost Path Modeling"
7,"L2-006: Spatial Path and Cost Analysis",2,"L3-088: Spatial Pathfinding and Cost Metrics",0.0565939066098888,0.15370727466006,-0.185929496984299,0.317753436727873,-0.234548241806701,0.38430399077972,FALSE,FALSE,"Spatial Path and Cost Analysis","Spatial Path and Cost Analysis: L3-088: Spatial Pathfinding and Cost Metrics"
8,"L2-007: Geophysical Numerical Modeling",1,"L3-092: Geomechanics Computational Methods",0.0200678667555724,0.17414124120819,-0.262659458297166,0.310076698989426,-0.321839889237714,0.375527063850014,FALSE,FALSE,"Geophysical Numerical Modeling","Geophysical Numerical Modeling: L3-092: Geomechanics Computational Methods"
8,"L2-007: Geophysical Numerical Modeling",2,"L3-139: Glacial Numerical Modeling",0.000851718283219079,0.220217090120584,-0.365827248788996,0.36253028881844,-0.453670879484894,0.44715967895317,FALSE,FALSE,"Geophysical Numerical Modeling","Geophysical Numerical Modeling: L3-139: Glacial Numerical Modeling"
8,"L2-007: Geophysical Numerical Modeling",3,"L3-155: Atmospheric and Oceanic Modeling",-0.0661895832634703,0.188845509782484,-0.383956853113243,0.233290389443991,-0.451824225054468,0.29439729414394,FALSE,FALSE,"Geophysical Numerical Modeling","Geophysical Numerical Modeling: L3-155: Atmospheric and Oceanic Modeling"
8,"L2-007: Geophysical Numerical Modeling",4,"L3-156: Mass and Solute Transport Modeling",-0.0533709158374942,0.225235386959256,-0.435833365987209,0.304833095120779,-0.527390555844365,0.390626638101569,FALSE,FALSE,"Geophysical Numerical Modeling","Geophysical Numerical Modeling: L3-156: Mass and Solute Transport Modeling"
8,"L2-007: Geophysical Numerical Modeling",5,"L3-159: Fluid Dynamics Simulation",0.113839805913204,0.201546332967537,-0.203816120107588,0.462577341445954,-0.259546060324085,0.54052975511656,FALSE,FALSE,"Geophysical Numerical Modeling","Geophysical Numerical Modeling: L3-159: Fluid Dynamics Simulation"
8,"L2-007: Geophysical Numerical Modeling",6,"L3-160: Hydrological and Hydraulic Modeling",-0.0151908570812668,0.205146172990002,-0.359307526823359,0.322379764036948,-0.433380476918691,0.387999218457238,FALSE,FALSE,"Geophysical Numerical Modeling","Geophysical Numerical Modeling: L3-160: Hydrological and Hydraulic Modeling"
9,"L2-008: Computational Modeling & Simulation",1,"L3-136: Structural Analysis & Simulation",0.0241222060155407,0.206111339540776,-0.311539082151493,0.365121356305608,-0.381769023441038,0.444102877469215,FALSE,FALSE,"Computational Modeling & Simulation","Computational Modeling & Simulation: L3-136: Structural Analysis & Simulation"
9,"L2-008: Computational Modeling & Simulation",2,"L3-167: Dynamic System Modeling",0.079242328896024,0.2219399836796,-0.273179480444978,0.459951576122022,-0.347435392020839,0.541407051245092,FALSE,FALSE,"Computational Modeling & Simulation","Computational Modeling & Simulation: L3-167: Dynamic System Modeling"
9,"L2-008: Computational Modeling & Simulation",3,"L3-168: Transportation Network Modeling",-0.0473793030085476,0.226776532851456,-0.43579163533106,0.317969131188406,-0.524626958754342,0.392008732376825,FALSE,FALSE,"Computational Modeling & Simulation","Computational Modeling & Simulation: L3-168: Transportation Network Modeling"
9,"L2-008: Computational Modeling & Simulation",4,"L3-173: Discrete Event & Agent Simulation",-0.0793670683293475,0.18612744148623,-0.399998898145415,0.217291437743421,-0.469732742215895,0.269622036219207,FALSE,FALSE,"Computational Modeling & Simulation","Computational Modeling & Simulation: L3-173: Discrete Event & Agent Simulation"
9,"L2-008: Computational Modeling & Simulation",5,"L3-175: Mechanical System Simulation",-0.114113403076255,0.221533287251327,-0.501606989588287,0.226218126627477,-0.592883734583579,0.289411738002221,FALSE,FALSE,"Computational Modeling & Simulation","Computational Modeling & Simulation: L3-175: Mechanical System Simulation"
9,"L2-008: Computational Modeling & Simulation",6,"L3-179: Quantum Computational Methods",0.108820433207135,0.214023660675909,-0.223322561882046,0.474431576833538,-0.287808545895249,0.571721388583452,FALSE,FALSE,"Computational Modeling & Simulation","Computational Modeling & Simulation: L3-179: Quantum Computational Methods"
9,"L2-008: Computational Modeling & Simulation",7,"L3-180: Molecular & Physical Simulation",0.0286734809071932,0.16079937183128,-0.233858326063849,0.296124215260165,-0.291681068417904,0.348605836981445,FALSE,FALSE,"Computational Modeling & Simulation","Computational Modeling & Simulation: L3-180: Molecular & Physical Simulation"
10,"L2-009: Geophysical & Geochemical Modeling",1,"L3-134: Geochemical Isotope & Elemental Modeling",-0.0528795924501454,0.168954473195551,-0.338235361949758,0.213749543210425,-0.404527211619131,0.269719346204627,FALSE,FALSE,"Geophysical & Geochemical Modeling","Geophysical & Geochemical Modeling: L3-134: Geochemical Isotope & Elemental Modeling"
