iteration,profile,question,l2_input,vague_input,l4_method,l4_justification,l3_mapping,l3_mapping_consistent,l3_mapping_runs
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Monte Carlo Ray Tracing (MCRT),This stochastic method simulates photon paths to accurately model complex light diffusion and fire spread dynamics within irregular archaeological structures.,L3-131: Monte Carlo and Stochastic Methods,True,"[""L3-131: Monte Carlo and Stochastic Methods"", ""L3-131: Monte Carlo and Stochastic Methods"", ""L3-131: Monte Carlo and Stochastic Methods""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Computational Fluid Dynamics (CFD) using Large Eddy Simulation (LES),"This approach resolves turbulent flow patterns to predict how heat, smoke, and oxygen depletion would behave during a fire event in confined spaces.",L3-159: Fluid Dynamics Simulation,True,"[""L3-159: Fluid Dynamics Simulation"", ""L3-159: Fluid Dynamics Simulation"", ""L3-159: Fluid Dynamics Simulation""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Agent-Based Modeling (ABM),"This technique simulates individual human behaviors and decision-making processes to reconstruct how occupants might have used, modified, or evacuated a site over time.",L3-173: Discrete Event & Agent Simulation,True,"[""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,"Bayesian Chronological Modeling (e.g., OxCal or BCal)",This statistical framework integrates radiocarbon dates with stratigraphic constraints to generate robust probability distributions for site occupation phases.,L3-018: Bayesian Chronological Modeling,True,"[""L3-018: Bayesian Chronological Modeling"", ""L3-018: Bayesian Chronological Modeling"", ""L3-018: Bayesian Chronological Modeling""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Network Analysis (SNA),This algorithm quantifies spatial relationships and interaction frequencies between architectural features to identify functional zones and social hierarchies within the site layout.,L3-074: Network Structure Analysis,True,"[""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Digital Twin Reconstruction with Finite Element Analysis (FEA),This method creates a virtual replica of the site to test structural integrity and thermal stress under various historical loading or fire scenarios.,L3-092: Geomechanics Computational Methods,True,"[""L3-092: Geomechanics Computational Methods"", ""L3-092: Geomechanics Computational Methods"", ""L3-092: Geomechanics Computational Methods""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Hidden Markov Models (HMM),"This probabilistic algorithm infers the most likely sequence of unobserved functional states (e.g., domestic, ritual, storage) based on observable material assemblages and spatial distributions.",L3-130: Markov Chain Models,True,"[""L3-130: Markov Chain Models"", ""L3-130: Markov Chain Models"", ""L3-130: Markov Chain Models""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Geographic Information Systems (GIS) with Viewshed Analysis,This tool calculates visibility corridors and territorial control to interpret the site's strategic significance and its relationship to the surrounding landscape.,L3-035: GIS Computational Analysis,True,"[""L3-035: GIS Computational Analysis"", ""L3-035: GIS Computational Analysis"", ""L3-035: GIS Computational Analysis""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,Multivariate Statistical Analysis (PCA/MDS),This technique reduces high-dimensional data from artifact distributions to reveal underlying patterns of activity areas and chronological shifts.,L3-149: Principal Component Analysis,True,"[""L3-149: Principal Component Analysis"", ""L3-149: Principal Component Analysis"", ""L3-149: Principal Component Analysis""]"
1,expert,"How do I interpret the function, chronology, and overall significance of an archaeological site?", Building & Fire Simulation,,"Agent-Based Fire Propagation Models (e.g., FDS coupled with ABM)","This hybrid approach combines fluid dynamics with human behavior to simulate how fires would have originated, spread, and been managed by inhabitants.",L3-173: Discrete Event & Agent Simulation,True,"[""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation""]"
1,intermediate,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,some kind of dating or chronological modelling,"Bayesian Chronological Modelling (e.g., OxCal or BCal)","This method integrates radiocarbon dates with stratigraphic constraints to produce precise, probabilistic date ranges for site phases.",L3-018: Bayesian Chronological Modeling,True,"[""L3-018: Bayesian Chronological Modeling"", ""L3-018: Bayesian Chronological Modeling"", ""L3-018: Bayesian Chronological Modeling""]"
1,intermediate,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,some kind of dating or chronological modelling,"Sequence Dating (e.g., OXSEQ)",This approach specifically handles complex stratigraphic sequences with multiple samples to resolve the timing of depositional events and hiatuses.,L3-138: Bayesian Computational Techniques,True,"[""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques""]"
1,intermediate,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,some kind of dating or chronological modelling,"Luminescence Dating (e.g., Optically Stimulated Luminescence)","This technique dates the last time sediment grains were exposed to sunlight, providing absolute ages for sites lacking organic material for radiocarbon dating.",L3-138: Bayesian Computational Techniques,False,"[""L3-134: Geochemical Isotope & Elemental Modeling"", ""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques""]"
1,intermediate,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,some kind of dating or chronological modelling,Dendrochronology,This method matches tree-ring patterns in wooden artifacts to master chronologies to establish exact calendar years for construction or use.,L3-111: Phylogenetic Inference & Reconstruction,True,"[""L3-111: Phylogenetic Inference & Reconstruction"", ""L3-111: Phylogenetic Inference & Reconstruction"", ""L3-111: Phylogenetic Inference & Reconstruction""]"
